@relation traffic_analysis
 
@attribute numPackSent numeric
@attribute numPackRec numeric
@attribute totalPackets numeric
@attribute numberAck numeric
@attribute headerBytesSent numeric
@attribute headerBytesRec numeric
@attribute totalHeaderBytes numeric
@attribute caplenSent numeric
@attribute caplenRec numeric
@attribute minPackLength numeric
@attribute maxPackLength numeric
@attribute avPackLength numeric
@attribute avPayload numeric
@attribute payloadSent numeric
@attribute payloadRec numeric
@attribute totalPayload numeric
@attribute totalSize numeric
@attribute class {TOR,SSH,SSLWEB,SSLp2p,SCP,SKYPE}
 
@data
28,28,56,53,632,588,1220,3058,2492,334,839,393.0,41.0,1474,864,2338,22062,TOR
34,34,68,67,1096,1096,2192,3688,7000,346,1794,437.0,90.0,1436,4748,6184,29728,SSH
1048,1044,2092,21,8516,8472,16988,127672,154619,334,622,447.0,92.0,83524,110595,194119,937075,SKYPE
234,217,451,430,5212,5252,10464,112992,23689,334,1814,598.0,244.0,99824,10483,110307,270033,SSLp2p
29,30,59,58,936,968,1904,3294,4376,346,1042,410.0,63.0,1372,2388,3760,24190,SSH
32,32,64,63,1032,1032,2064,3540,4692,346,1042,408.0,62.0,1420,2572,3992,26152,SSH
124,174,298,289,2372,3480,5852,45945,168168,334,1826,1019.0,663.0,39317,158526,197843,303825,TOR
24,24,48,48,768,768,1536,2304,2800,346,474,386.0,40.0,720,1216,1936,18544,SSH
37,35,72,72,740,712,1452,3620,3195,334,952,394.0,39.0,1622,1199,2821,28383,TOR
517,941,1458,1454,10292,18820,29112,101634,1315232,334,1826,1273.0,917.0,73764,1264160,1337924,1857394,TOR
153,205,358,348,3192,4220,7412,22506,80803,334,1782,578.0,232.0,14112,69154,83266,207069,TOR
20,23,43,42,492,580,1072,2197,1840,334,819,391.0,33.0,1025,435,1460,16845,TOR
25,25,50,50,800,800,1600,2402,5682,346,1794,441.0,95.0,752,4032,4784,22084,SSH
13,13,26,25,284,272,556,2080,1810,334,1064,446.0,92.0,1354,1051,2405,11618,TOR
147,154,301,289,3260,3428,6688,23959,28036,334,1782,459.0,115.0,15701,19004,34705,138451,TOR
470,408,878,841,10148,9376,19524,250536,34531,334,1814,620.0,267.0,224408,10127,234535,544923,SSLp2p
22,27,49,47,544,672,1216,2051,2169,334,739,383.0,26.0,759,528,1287,18804,TOR
14,12,26,26,292,240,532,2473,1102,334,818,438.0,81.0,1705,420,2125,11399,TOR
1055,1053,2108,31,8620,8616,17236,128315,161594,334,630,450.0,95.0,83825,117103,200928,949621,SKYPE
22,22,44,44,704,704,1408,2044,5516,346,1794,451.0,105.0,592,4064,4656,19880,SSH
20,23,43,43,412,460,872,2803,1784,334,818,403.0,50.0,1711,458,2169,17331,TOR
62,111,173,173,2144,3552,5696,4300,166278,346,1778,1266.0,919.0,48,158952,159000,219018,SCP
400,372,772,750,8700,8428,17128,173222,35942,334,1814,567.0,213.0,150922,14014,164936,438444,SSLp2p
1035,1032,2067,18,8400,8352,16752,137293,144196,334,523,448.0,94.0,93703,100706,194409,927545,SKYPE
993,693,1686,1668,20416,17080,37496,743592,55184,334,1814,772.0,416.0,689414,12184,701598,1302536,SSLp2p
46,46,92,90,1488,1488,2976,5396,9108,346,1794,437.0,91.0,2344,6056,8400,40264,SSH
629,1022,1651,1651,20128,39380,59508,2563266,75040,346,7506,1878.0,1527.0,2521752,912,2522664,3100586,SCP
334,315,649,625,7088,7872,14960,193581,32468,334,1814,644.0,290.0,175137,13184,188321,418393,SSLp2p
24,24,48,48,768,768,1536,2320,4416,346,1418,420.0,74.0,736,2832,3568,20176,SSH
24,24,48,48,768,768,1536,2336,4032,346,1626,412.0,66.0,752,2448,3200,19808,SSH
779,525,1304,1284,16796,12736,29532,574156,40047,334,1814,769.0,412.0,530874,7619,538493,1003707,SSLp2p
784,576,1360,1336,16976,13744,30720,505505,51061,334,1814,707.0,351.0,461873,16009,477882,961590,SSLp2p
68,68,136,129,1476,1408,2884,12617,17823,334,1782,508.0,167.0,8829,13903,22732,69192,TOR
36,36,72,71,1160,1160,2320,3932,5068,346,1042,405.0,58.0,1548,2684,4232,29160,SSH
1091,1064,2155,82,9400,9032,18432,158971,147400,334,1800,454.0,99.0,112477,102097,214574,979211,SKYPE
719,1090,1809,1809,23008,45012,68020,2537702,82936,346,7506,1728.0,1377.0,2490248,864,2491112,3127158,SCP
